"iso_code","country","Y","X1","X2","X3","X4","X5","D","Cluster"
"ALB","Albania",64.54392476,17.44007529,37.18519794,5.58,6.9,17112.93794,"HighFreedom","1"
"DZA","Algeria",43.07684052,4.947280935,11.57333072,3.77,4.1,14782.2003,"LowFreedom","2"
"AGO","Angola",20.49948443,7.538525217,16.22510077,3.53,5,7397.486427,"LowFreedom","2"
"ARG","Argentina",23.29050795,12.99702132,75.31658395,5.41,5,27627.96348,"LowFreedom","1"
"ARM","Armenia",40.0726243,24.16533967,69.63820494,5.64,6.39,17886.17839,"HighFreedom","1"
"AUS","Australia",84.34907956,117.6510301,19.3178055,8.69,8.24,59883.64704,"HighFreedom","3"
"AUT","Austria",28.2333238,11.45300401,176.3271959,8.49,6.81,65661.45219,"HighFreedom","3"
"AZE","Azerbaijan",25.205134,39.18423731,6.539220829,4.41,5.51,21051.24424,"LowFreedom","1"
"BHS","Bahamas, The",62.18767787,24.14898063,119.1968916,6.19,7.35,34342.79041,"HighFreedom","1"
"BHR","Bahrain",86.57626274,14.42700866,38.58009057,4.64,7.63,57572.99798,"HighFreedom","1"
"BGD","Bangladesh",39.52305967,13.19738258,9.282841483,3.44,5.43,7888.163891,"LowFreedom","2"
"BRB","Barbados",12.91566929,93.66425344,30.13656168,6.12,6.2,18469.57659,"HighFreedom","4"
"BEL","Belgium",102.1357693,60.4645834,21.14978303,7.98,7.18,62744.203,"HighFreedom","4"
"BLZ","Belize",44.46848674,45.27758245,14.7495155,3.85,6.98,12569.81794,"LowFreedom","1"
"BEN","Benin",35.55953871,3.82977612,2.800131393,4.3,6.45,3588.325199,"LowFreedom","2"
"BTN","Bhutan",41.8418932,44.18462933,12.97615508,6.83,7.07,14061.31203,"LowFreedom","4"
"BOL","Bolivia",56.57958272,44.94984393,74.65033715,4.14,4.68,9681.70743,"LowFreedom","1"
"BIH","Bosnia and Herzegovina",49.83619165,59.54370717,29.21351876,4.58,6.62,19298.18116,"LowFreedom","4"
"BWA","Botswana",23.71628608,38.14895682,8.309073265,6.08,5.83,18647.37346,"LowFreedom","1"
