"iso_code","country","Y","D","X1","X2"
"DZA","Algeria",43.07684052,"LowFreedom",4.947280935,11.57333072
"AGO","Angola",20.49948443,"LowFreedom",7.538525217,16.22510077
"ARM","Armenia",40.0726243,"HighFreedom",24.16533967,69.63820494
"AUS","Australia",84.34907956,"HighFreedom",117.6510301,19.3178055
"AUT","Austria",28.2333238,"HighFreedom",11.45300401,176.3271959
"AZE","Azerbaijan",25.205134,"LowFreedom",39.18423731,6.539220829
"BHS","Bahamas, The",62.18767787,"HighFreedom",24.14898063,119.1968916
"BHR","Bahrain",86.57626274,"HighFreedom",14.42700866,38.58009057
"BRB","Barbados",12.91566929,"HighFreedom",93.66425344,30.13656168
"BEL","Belgium",102.1357693,"HighFreedom",60.4645834,21.14978303
"BEN","Benin",35.55953871,"LowFreedom",3.82977612,2.800131393
"BTN","Bhutan",41.8418932,"LowFreedom",44.18462933,12.97615508
"BOL","Bolivia",56.57958272,"LowFreedom",44.94984393,74.65033715
"BIH","Bosnia and Herzegovina",49.83619165,"LowFreedom",59.54370717,29.21351876
"BRA","Brazil",39.2098543,"LowFreedom",16.91283301,113.4541655
"BGR","Bulgaria",120.7315209,"HighFreedom",106.6134287,66.64527085
"BFA","Burkina Faso",44.28167331,"LowFreedom",2.913389072,4.393453038
"CPV","Cabo Verde",84.82121994,"HighFreedom",56.00997612,35.13833407
"KHM","Cambodia",94.49551886,"LowFreedom",37.8164779,12.50518367
"CAN","Canada",95.84238883,"HighFreedom",19.76144427,205.9685036
"CHL","Chile",59.24738377,"HighFreedom",9.968350642,46.8755004
"CHN","China",157.6690915,"LowFreedom",76.55598676,8.784714039
"COL","Colombia",40.74908102,"LowFreedom",39.16899046,12.77595201
"COM","Comoros",11.80674631,"LowFreedom",5.004388464,6.544200299
"COG","Congo, Rep.",25.49071927,"LowFreedom",13.48288238,3.9207545
"CRI","Costa Rica",50.39988323,"HighFreedom",16.0792977,64.5381277
"HRV","Croatia",77.17671429,"HighFreedom",126.6248397,26.29947077
"CYP","Cyprus",126.465189,"HighFreedom",30.50340457,20.57414385
"CZE","Czechia",21.93078838,"HighFreedom",68.52318737,76.69139177
"DNK","Denmark",56.80428044,"HighFreedom",17.53285494,39.12106527
"DJI","Djibouti",68.65949245,"LowFreedom",15.20669798,9.174288867
"DOM","Dominican Republic",30.60773337,"HighFreedom",38.53549466,10.84766226
"ECU","Ecuador",37.46220624,"LowFreedom",50.75393089,8.993795411
"EGY","Egypt, Arab Rep.",6.649665446,"LowFreedom",109.1834712,31.31056314
"SLV","El Salvador",50.45974321,"HighFreedom",38.38179115,9.204779807
"EST","Estonia",58.62057749,"HighFreedom",59.20977519,6.814876965
"FJI","Fiji",70.39156042,"LowFreedom",48.74225427,10.22985583
"FIN","Finland",35.16326562,"HighFreedom",36.00532777,5.965505367
"FRA","France",47.21189003,"HighFreedom",32.03855747,84.28869373
"GMB","Gambia, The",44.61604509,"HighFreedom",8.512526311,5.803995212
"GEO","Georgia",38.35638483,"HighFreedom",31.31028769,99.19481972
"GHA","Ghana",11.35983293,"LowFreedom",6.107924355,25.70465767
"GTM","Guatemala",45.10091941,"HighFreedom",35.66457051,22.75770983
"GIN","Guinea",23.14316758,"LowFreedom",2.654504975,2.703211488
"GNB","Guinea-Bissau",24.22070399,"LowFreedom",3.308300526,7.404291653
"HND","Honduras",68.93192859,"HighFreedom",25.43302298,15.53002225
"IND","India",64.23608664,"LowFreedom",14.26709129,24.56163942
"IDN","Indonesia",41.62445619,"HighFreedom",47.31503438,12.23034966
"ISR","Israel",110.8686067,"HighFreedom",128.2575795,14.43441233
