year,iso_code,country,Y,X1,X2,X3,X4,X5,D
2013,AGO,Angola,31.28288578,9.942166709,16.27280301,3.16,4.28,10150.9161,LowFreedom
2014,AGO,Angola,33.1009603,9.907864256,17.4026191,3.11,4.14,10250.5924,LowFreedom
2015,AGO,Angola,38.6482551,9.987312414,18.014801340000002,3.12,4.32,9980.929882,LowFreedom
2016,AGO,Angola,37.39906927,9.844555594,18.22996268,3.12,4.27,9381.809726,LowFreedom
2017,AGO,Angola,31.59125168,9.798636213,18.28031639,3.14,4.15,9042.117129,LowFreedom
2018,AGO,Angola,32.54493718,9.590883798,18.07983627,3.35,4.5,8620.214664,LowFreedom
2019,AGO,Angola,34.00181852,9.026404371,17.58573171,3.46,4.5,8274.542562,LowFreedom
2020,AGO,Angola,36.57325217,8.493015066,17.1165246,3.43,4.81,7556.967928,LowFreedom
2021,AGO,Angola,27.35813079,7.989834408,17.06775811,3.46,4.51,7408.126591,LowFreedom
2022,AGO,Angola,20.49948443,7.538525217,16.22510077,3.53,5,7397.486427,LowFreedom
2023,AGO,Angola,23.44966232,7.11352778,17.41807906,3.48,5.14,7250.402699,LowFreedom
2013,ALB,Albania,71.31806142,23.47082211,35.40002894,5.25,7,12525.80101,HighFreedom
2014,ALB,Albania,72.04259734,22.11242817,34.82170728,5.3,7.16,12832.95013,HighFreedom
2015,ALB,Albania,71.60661851,22.11219453,35.39665249,5.49,7.22,13157.08875,HighFreedom
2016,ALB,Albania,71.94348753,21.74316073,34.17392649,5.57,7.17,13693.26623,HighFreedom
2017,ALB,Albania,69.13748086,20.78282249,31.81304999,5.6,7.25,14155.85373,HighFreedom
2018,ALB,Albania,65.96267095,19.61470924,30.76233142,5.46,7.19,14711.82852,HighFreedom
2019,ALB,Albania,67.47689513,18.78406209,30.11413128,5.52,7.17,15079.37405,HighFreedom
2020,ALB,Albania,75.04576304,18.67041043,31.53034988,5.51,6.9,14663.63869,HighFreedom
2021,ALB,Albania,70.31007797,16.61392677,35.3799166,5.48,7.2,16127.70485,HighFreedom
2022,ALB,Albania,64.54392476,17.44007529,37.18519794,5.58,6.9,17112.93794,HighFreedom
2023,ALB,Albania,61.39097612,17.07635281,40.60572326,5.55,7.11,17992.0507,HighFreedom
2013,ARE,United Arab Emirates,87.008395,15.64211105,74.21648618,4.7,7.31,69806.95598,HighFreedom
2014,ARE,United Arab Emirates,93.45273086,15.36141022,73.64664229,4.7,6.96,69409.03704,LowFreedom
2015,ARE,United Arab Emirates,108.2201764,14.64207892,73.69990361,4.74,6.95,70234.73175,LowFreedom
2016,ARE,United Arab Emirates,115.2540761,13.57476786,71.8188778,4.79,6.7,70573.99271,LowFreedom
2017,ARE,United Arab Emirates,113.4644844,12.12094689,70.31210112,4.69,6.65,68871.84958,LowFreedom
2018,ARE,United Arab Emirates,111.9432725,11.55057208,69.36883776,4.96,6.61,68854.9699,LowFreedom
2019,ARE,United Arab Emirates,121.8307534,10.27328092,65.67654148,5.81,6.63,68887.84541,LowFreedom
2020,ARE,United Arab Emirates,146.835498,8.732550817,57.46330314,6.87,6.62,65784.67694,HighFreedom
2021,ARE,United Arab Emirates,130.9686641,8.240419205,56.07567001,6.91,6.61,67401.12129,HighFreedom
2022,ARE,United Arab Emirates,120.3621526,7.660736061,53.64939526,6.94,6.62,68867.82593,HighFreedom
2023,ARE,United Arab Emirates,133.5651296,7.238406941,54.16004164,6.89,6.57,68577.54056,HighFreedom
2013,ARG,Argentina,16.18930783,13.06441226,52.36118544,5.1,5.26,29227.66018,LowFreedom
2014,ARG,Argentina,15.59953756,13.05556513,55.64113239,5.13,4.99,28200.81526,LowFreedom
2015,ARG,Argentina,17.72922899,13.0968466,57.45525668,5.33,5.4,28669.20613,LowFreedom
2016,ARG,Argentina,18.35315784,13.29759701,60.37647849,5.47,5.36,27802.10572,LowFreedom
2017,ARG,Argentina,18.31808073,13.39996673,63.48219271,5.52,5.67,28334.90418,LowFreedom
2018,ARG,Argentina,21.5151643,13.36056931,69.6336764,5.54,5.68,27367.11509,LowFreedom
2019,ARG,Argentina,18.41423412,13.34072336,72.73828747,5.46,5.48,26629.55294,LowFreedom
2020,ARG,Argentina,23.83857672,13.13443467,74.78130543,5.43,5.24,23877.09314,LowFreedom
2021,ARG,Argentina,21.26372464,13.06412496,75.797225,5.44,5.37,26300.27426,LowFreedom
2022,ARG,Argentina,23.29050795,12.99702132,75.31658395,5.41,5,27627.96348,LowFreedom
2023,ARG,Argentina,27.33360804,12.60684492,75.87249132,5.54,5.79,27104.98,LowFreedom
2013,ARM,Armenia,24.41870101,20.83909051,51.68588654,5.34,6.31,12194.01895,HighFreedom
2014,ARM,Armenia,26.18974387,21.9506417,57.44441518,5.25,6.22,12667.37573,HighFreedom
2015,ARM,Armenia,28.36052116,22.78931177,58.99390396,5.34,6.15,13112.76009,HighFreedom
2016,ARM,Armenia,32.84541221,22.69077341,60.06134478,5.4,6.1,13192.99407,HighFreedom
2017,ARM,Armenia,35.8547912,22.87435228,63.00997778,5.43,6.21,14243.8749,HighFreedom
2018,ARM,Armenia,35.073529,23.41441439,65.03533544,5.85,6.48,15037.04524,HighFreedom
2019,ARM,Armenia,35.8545847,24.05663474,67.89222797,5.86,6.54,16215.3608,HighFreedom
