DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2022
IMF.STA:FAS(4.0.0),IND.OUTD_COMBANK.POGDP.A,OBS_VALUE,India,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,64.23608664
IMF.STA:FAS(4.0.0),BIH.OUTD_COMBANK.POGDP.A,OBS_VALUE,Bosnia and Herzegovina,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,49.83619165
IMF.STA:FAS(4.0.0),CYP.OUTD_COMBANK.POGDP.A,OBS_VALUE,Cyprus,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,126.465189
IMF.STA:FAS(4.0.0),BGR.FA18N.PHTADLT_NUM.A,OBS_VALUE,Bulgaria,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,120.7315209
IMF.STA:FAS(4.0.0),FRA.OUTD_COMBANK.POGDP.A,OBS_VALUE,France,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,47.21189003
IMF.STA:FAS(4.0.0),ARM.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Armenia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,40.0726243
IMF.STA:FAS(4.0.0),GEO.OUTD_COMBANK.POGDP.A,OBS_VALUE,Georgia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,38.35638483
IMF.STA:FAS(4.0.0),PER.OUTD_COMBANK.POGDP.A,OBS_VALUE,Peru,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,33.80813112
IMF.STA:FAS(4.0.0),ISL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Iceland,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,52.17235971
IMF.STA:FAS(4.0.0),MNE.OUTD_COMBANK.POGDP.A,OBS_VALUE,Montenegro,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,58.54156756
IMF.STA:FAS(4.0.0),HUN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Hungary,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,42.50877748
IMF.STA:FAS(4.0.0),NIC.OUTD_COMBANK.POGDP.A,OBS_VALUE,Nicaragua,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,30.44196916
IMF.STA:FAS(4.0.0),MYS.OUTD_COMBANK.POGDP.A,OBS_VALUE,Malaysia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,92.83788705
IMF.STA:FAS(4.0.0),ARG.OUTD_COMBANK.POGDP.A,OBS_VALUE,Argentina,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,23.29050795
IMF.STA:FAS(4.0.0),CRI.OUTD_COMBANK.POGDP.A,OBS_VALUE,Costa Rica,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,50.39988323
IMF.STA:FAS(4.0.0),MDA.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Moldova, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,34.48300912
IMF.STA:FAS(4.0.0),UGA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Uganda,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,18.39453436
IMF.STA:FAS(4.0.0),LVA.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Latvia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,47.45749184
IMF.STA:FAS(4.0.0),FIN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Finland,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,35.16326562
IMF.STA:FAS(4.0.0),BWA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Botswana,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,23.71628608
IMF.STA:FAS(4.0.0),CAN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Canada,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,95.84238883
IMF.STA:FAS(4.0.0),EST.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Estonia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,58.62057749
IMF.STA:FAS(4.0.0),MLT.OUTD_COMBANK.POGDP.A,OBS_VALUE,Malta,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,110.6767761
IMF.STA:FAS(4.0.0),DEU.OUTD_COMBANK.POGDP.A,OBS_VALUE,Germany,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,31.14015453
IMF.STA:FAS(4.0.0),AZE.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Azerbaijan, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,25.205134
IMF.STA:FAS(4.0.0),HND.OUTD_COMBANK.POGDP.A,OBS_VALUE,Honduras,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,68.93192859
IMF.STA:FAS(4.0.0),JAM.OUTD_COMBANK.POGDP.A,OBS_VALUE,Jamaica,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,58.43755049
IMF.STA:FAS(4.0.0),AUT.OUTD_COMBANK.POGDP.A,OBS_VALUE,Austria,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,28.2333238
IMF.STA:FAS(4.0.0),CZE.FA26N.PHTADLT_NUM.A,OBS_VALUE,Czech Republic,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,21.93078838
IMF.STA:FAS(4.0.0),CZE.FA18N.PHTADLT_NUM.A,OBS_VALUE,Czech Republic,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,76.69139177
IMF.STA:FAS(4.0.0),ECU.OUTD_COMBANK.POGDP.A,OBS_VALUE,Ecuador,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,37.46220624
IMF.STA:FAS(4.0.0),ALB.OUTD_COMBANK.POGDP.A,OBS_VALUE,Albania,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,64.54392476
IMF.STA:FAS(4.0.0),COL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Colombia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,40.74908102
IMF.STA:FAS(4.0.0),CZE.OUTD_COMBANK.POGDP.A,OBS_VALUE,Czech Republic,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,68.52318737
IMF.STA:FAS(4.0.0),SAU.OUTD_COMBANK.POGDP.A,OBS_VALUE,Saudi Arabia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,53.79528666
IMF.STA:FAS(4.0.0),IRL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Ireland,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,40.62149669
IMF.STA:FAS(4.0.0),BGR.OUTD_COMBANK.POGDP.A,OBS_VALUE,Bulgaria,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,66.64527085
IMF.STA:FAS(4.0.0),BRA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Brazil,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,39.2098543
IMF.STA:FAS(4.0.0),HRV.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Croatia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,77.17671429
IMF.STA:FAS(4.0.0),CHL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Chile,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,59.24738377
IMF.STA:FAS(4.0.0),BGR.FA26N.PHTADLT_NUM.A,OBS_VALUE,Bulgaria,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,106.6134287
IMF.STA:FAS(4.0.0),NGA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Nigeria,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,21.89803071
IMF.STA:FAS(4.0.0),BEL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Belgium,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,102.1357693
IMF.STA:FAS(4.0.0),BGD.OUTD_COMBANK.POGDP.A,OBS_VALUE,Bangladesh,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,39.52305967
IMF.STA:FAS(4.0.0),NZL.OUTD_COMBANK.POGDP.A,OBS_VALUE,New Zealand,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,113.9540719
IMF.STA:FAS(4.0.0),MEX.OUTD_COMBANK.POGDP.A,OBS_VALUE,Mexico,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,25.80196871
IMF.STA:FAS(4.0.0),BOL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Bolivia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,56.57958272
IMF.STA:FAS(4.0.0),SLV.OUTD_COMBANK.POGDP.A,OBS_VALUE,El Salvador,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,50.45974321
IMF.STA:FAS(4.0.0),DNK.OUTD_COMBANK.POGDP.A,OBS_VALUE,Denmark,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,56.80428044
IMF.STA:FAS(4.0.0),MNG.OUTD_COMBANK.POGDP.A,OBS_VALUE,Mongolia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,51.62009945
IMF.STA:FAS(4.0.0),LUX.OUTD_COMBANK.POGDP.A,OBS_VALUE,Luxembourg,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,89.03301521
IMF.STA:FAS(4.0.0),BLZ.OUTD_COMBANK.POGDP.A,OBS_VALUE,Belize,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,44.46848674
IMF.STA:FAS(4.0.0),ITA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Italy,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,70.45581941
IMF.STA:FAS(4.0.0),ESP.OUTD_COMBANK.POGDP.A,OBS_VALUE,Spain,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,85.3565992
