year,iso_code,country,legal_rights,regulation,gdp_ppp,deposits_gdp,at_ms_100k,branches_100k,high_freedom
2013,AGO,Angola,3.16,4.28,10150.9161,31.28288578,16.27280301,9.942166709,0
2014,AGO,Angola,3.11,4.14,10250.5924,33.1009603,17.4026191,9.907864256,0
2015,AGO,Angola,3.12,4.32,9980.929882,38.6482551,18.01480134,9.987312414,0
2016,AGO,Angola,3.12,4.27,9381.809726,37.39906927,18.22996268,9.844555594,0
2017,AGO,Angola,3.14,4.15,9042.117129,31.59125168,18.28031639,9.798636213,0
2018,AGO,Angola,3.35,4.5,8620.214664,32.54493718,18.07983627,9.590883798,0
2019,AGO,Angola,3.46,4.5,8274.542562,34.00181852,17.58573171,9.026404371,0
2020,AGO,Angola,3.43,4.81,7556.967928,36.57325217,17.1165246,8.493015066,0
2021,AGO,Angola,3.46,4.51,7408.126591,27.35813079,17.06775811,7.989834408,0
2022,AGO,Angola,3.53,5,7397.486427,20.49948443,16.22510077,7.538525217,0
2023,AGO,Angola,3.48,5.14,7250.402699,23.44966232,17.41807906,7.11352778,0
2013,ALB,Albania,5.25,7,12525.80101,71.31806142,35.40002894,23.47082211,1
2014,ALB,Albania,5.3,7.16,12832.95013,72.04259734,34.82170728,22.11242817,1
2015,ALB,Albania,5.49,7.22,13157.08875,71.60661851,35.39665249,22.11219453,1
2016,ALB,Albania,5.57,7.17,13693.26623,71.94348753,34.17392649,21.74316073,1
2017,ALB,Albania,5.6,7.25,14155.85373,69.13748086,31.81304999,20.78282249,1
2018,ALB,Albania,5.46,7.19,14711.82852,65.96267095,30.76233142,19.61470924,1
2019,ALB,Albania,5.52,7.17,15079.37405,67.47689513,30.11413128,18.78406209,1
2020,ALB,Albania,5.51,6.9,14663.63869,75.04576304,31.53034988,18.67041043,1
2021,ALB,Albania,5.48,7.2,16127.70485,70.31007797,35.3799166,16.61392677,1
2022,ALB,Albania,5.58,6.9,17112.93794,64.54392476,37.18519794,17.44007529,1
2023,ALB,Albania,5.55,7.11,17992.0507,61.39097612,40.60572326,17.07635281,1
2013,ARE,United Arab Emirates,4.7,7.31,69806.95598,87.008395,74.21648618,15.64211105,1
2014,ARE,United Arab Emirates,4.7,6.96,69409.03704,93.45273086,73.64664229,15.36141022,0
2015,ARE,United Arab Emirates,4.74,6.95,70234.73175,108.2201764,73.69990361,14.64207892,0
2016,ARE,United Arab Emirates,4.79,6.7,70573.99271,115.2540761,71.8188778,13.57476786,0
2017,ARE,United Arab Emirates,4.69,6.65,68871.84958,113.4644844,70.31210112,12.12094689,0
2018,ARE,United Arab Emirates,4.96,6.61,68854.9699,111.9432725,69.36883776,11.55057208,0
2019,ARE,United Arab Emirates,5.81,6.63,68887.84541,121.8307534,65.67654148,10.27328092,0
2020,ARE,United Arab Emirates,6.87,6.62,65784.67694,146.835498,57.46330314,8.732550817,1
2021,ARE,United Arab Emirates,6.91,6.61,67401.12129,130.9686641,56.07567001,8.240419205,1
2022,ARE,United Arab Emirates,6.94,6.62,68867.82593,120.3621526,53.64939526,7.660736061,1
2023,ARE,United Arab Emirates,6.89,6.57,68577.54056,133.5651296,54.16004164,7.238406941,1
2013,ARG,Argentina,5.1,5.26,29227.66018,16.18930783,52.36118544,13.06441226,0
2014,ARG,Argentina,5.13,4.99,28200.81526,15.59953756,55.64113239,13.05556513,0
2015,ARG,Argentina,5.33,5.4,28669.20613,17.72922899,57.45525668,13.0968466,0
2016,ARG,Argentina,5.47,5.36,27802.10572,18.35315784,60.37647849,13.29759701,0
2017,ARG,Argentina,5.52,5.67,28334.90418,18.31808073,63.48219271,13.39996673,0
2018,ARG,Argentina,5.54,5.68,27367.11509,21.5151643,69.6336764,13.36056931,0
2019,ARG,Argentina,5.46,5.48,26629.55294,18.41423412,72.73828747,13.34072336,0
2020,ARG,Argentina,5.43,5.24,23877.09314,23.83857672,74.78130543,13.13443467,0
2021,ARG,Argentina,5.44,5.37,26300.27426,21.26372464,75.797225,13.06412496,0
2022,ARG,Argentina,5.41,5,27627.96348,23.29050795,75.31658395,12.99702132,0
2023,ARG,Argentina,5.54,5.79,27104.98,27.33360804,75.87249132,12.60684492,0
2013,ARM,Armenia,5.34,6.31,12194.01895,24.41870101,51.68588654,20.83909051,1
2014,ARM,Armenia,5.25,6.22,12667.37573,26.18974387,57.44441518,21.9506417,1
2015,ARM,Armenia,5.34,6.15,13112.76009,28.36052116,58.99390396,22.78931177,1
2016,ARM,Armenia,5.4,6.1,13192.99407,32.84541221,60.06134478,22.69077341,1
2017,ARM,Armenia,5.43,6.21,14243.8749,35.8547912,63.00997778,22.87435228,1
2018,ARM,Armenia,5.85,6.48,15037.04524,35.073529,65.03533544,23.41441439,1
2019,ARM,Armenia,5.86,6.54,16215.3608,35.8545847,67.89222797,24.05663474,1
2020,ARM,Armenia,5.84,6.26,15052.93598,39.62306787,67.84564692,24.36352408,1
2021,ARM,Armenia,5.83,6.28,15921.70528,41.09071917,70.3430554,24.06695173,1
2022,ARM,Armenia,5.64,6.39,17886.17839,40.0726243,69.63820494,24.16533967,1
2023,ARM,Armenia,5.69,6.39,19402.75109,42.66573162,69.18476862,22.89386889,1
2013,AUS,Australia,8.55,8.35,54699.35162,66.88149473,161.1909463,30.1399655,1
2014,AUS,Australia,8.74,8.4,55288.11534,69.90016626,165.2962724,29.1727117,1
2015,AUS,Australia,8.75,8.38,55691.69885,74.85667708,163.9274832,28.75630086,1
2016,AUS,Australia,8.73,8.38,56341.51816,77.59528567,167.5634574,27.71914124,1
2017,AUS,Australia,8.73,8.38,56684.64733,78.0560454,159.9426265,28.94929975,1
2018,AUS,Australia,8.66,8.38,57450.38104,78.23389174,145.5150018,27.48068807,1
2019,AUS,Australia,8.66,8.41,57837.06069,77.17637876,135.672002,24.61293348,1
2020,AUS,Australia,8.69,8.11,57059.74364,89.59927401,128.7147739,23.30432994,1
2021,AUS,Australia,8.7,8.02,58182.33695,88.86598125,122.477268,21.0897809,1
2022,AUS,Australia,8.69,8.24,59883.64704,84.34907956,117.6510301,19.3178055,1
2023,AUS,Australia,8.68,8.22,60461.1564,84.30430806,111.4375907,16.86256815,1
2013,AUT,Austria,8.67,7.12,60937.25691,28.76533485,117.4365207,15.56271471,1
2014,AUT,Austria,8.76,7.06,60919.84071,29.97541542,186.6432773,14.85500261,1
2015,AUT,Austria,8.79,7.15,61025.99945,29.62375648,183.6641146,13.82577765,1
2016,AUT,Austria,8.77,7.12,61647.77947,29.23619427,163.295061,12.68453899,1
2017,AUT,Austria,8.78,7.16,62612.13993,28.02019299,165.3923896,12.08600936,1
2018,AUT,Austria,8.55,7.18,63855.78168,27.94994023,169.6665771,11.96324521,1
2019,AUT,Austria,8.56,7.12,64688.14382,27.61793369,172.0316513,11.88285635,1
2020,AUT,Austria,8.55,6.8,60349.90228,30.75272373,167.9189189,7.414737721,1
2021,AUT,Austria,8.54,6.9,62968.94223,31.12167161,168.5075723,12.33427448,1
2022,AUT,Austria,8.49,6.81,65661.45219,28.2333238,176.3271959,11.45300401,1
2023,AUT,Austria,8.5,6.92,64394.09052,26.57411688,171.946763,11.00224159,1
2013,AZE,Azerbaijan,4.03,5.51,20398.64619,15.8369341,33.25412937,10.20141128,0
2014,AZE,Azerbaijan,4.03,5.44,20709.20162,18.90278933,35.55967146,10.86697015,0
2015,AZE,Azerbaijan,4.26,5.43,20678.75396,31.45328106,36.47299381,10.73611139,0
2016,AZE,Azerbaijan,4.44,5.49,19822.41059,27.41070552,33.21717405,8.079126508,0
2017,AZE,Azerbaijan,4.46,5.69,19659.00485,26.53489671,32.82453744,7.189120553,0
2018,AZE,Azerbaijan,4.32,5.83,19781.85091,25.37426392,33.82207083,7.09959973,0
2019,AZE,Azerbaijan,4.4,5.83,20101.4919,28.10798883,35.38674305,7.032984698,0
2020,AZE,Azerbaijan,4.35,5.56,19126.09685,30.01150402,35.93994266,6.220623397,0
2021,AZE,Azerbaijan,4.42,5.8,20111.3757,29.1138321,38.11926478,6.48155849,0
2022,AZE,Azerbaijan,4.41,5.51,21051.24424,25.205134,39.18423731,6.539220829,0
2023,AZE,Azerbaijan,4.64,5.98,21310.73866,28.10018652,39.46677746,6.315698963,0
2013,BGD,Bangladesh,3.03,5.54,4822.726214,43.32067495,4.984938735,8.300353137,0
2014,BGD,Bangladesh,3.1,5.52,5068.639657,44.27151515,5.810320109,8.509858514,0
2015,BGD,Bangladesh,3.23,5.47,5352.711333,43.97216366,7.146909311,8.674026686,0
2016,BGD,Bangladesh,3.27,5.41,5682.535535,43.53228802,8.09256258,8.780376664,0
2017,BGD,Bangladesh,3.29,5.42,6005.707188,42.69152077,8.447484896,8.916593661,0
2018,BGD,Bangladesh,3.39,5.42,6392.59334,41.11601047,9.057839186,9.081341172,0
2019,BGD,Bangladesh,3.38,5.37,6838.326116,41.39970792,9.611100713,9.137338278,0
2020,BGD,Bangladesh,3.38,5.37,7015.197928,43.70044424,10.79803341,9.120908325,0
2021,BGD,Bangladesh,3.37,5.43,7441.06914,43.39622152,11.79939465,9.249628804,0
2022,BGD,Bangladesh,3.44,5.43,7888.163891,39.52305967,13.19738258,9.282841483,0
2023,BGD,Bangladesh,3.45,5.43,8242.39799,39.1370873,14.22286235,9.235783488,0
2013,BGR,Bulgaria,5.04,6.81,22946.83326,65.02460694,122.2203269,79.24197956,1
2014,BGR,Bulgaria,5.04,6.66,23447.75458,65.23055036,119.5128643,79.77457086,1
2015,BGR,Bulgaria,5.24,6.76,24554.55559,68.07531146,122.0495987,80.67095985,1
2016,BGR,Bulgaria,5.41,6.87,25628.29738,68.00564396,127.5533968,65.71739082,1
2017,BGR,Bulgaria,5.44,6.85,26682.96313,68.07360757,129.8124157,69.87288475,1
2018,BGR,Bulgaria,5.52,6.87,27741.09709,68.08241384,129.4123515,73.15816018,1
2019,BGR,Bulgaria,5.46,6.82,29201.5127,68.52506539,132.2952064,81.1822205,1
2020,BGR,Bulgaria,5.44,6.68,28547.35003,74.60746884,129.0421251,85.09611249,1
2021,BGR,Bulgaria,5.46,6.54,30973.69421,70.42450964,126.428735,87.15154133,1
2022,BGR,Bulgaria,5.59,6.35,32435.0146,66.64527085,120.7315209,106.6134287,1
2023,BGR,Bulgaria,5.56,6.74,33141.84442,66.66594505,125.0143835,124.0879898,1
2013,BHS,Bahamas,6.38,6.91,32402.83497,59.58162899,104.8423644,34.15831873,1
2014,BHS,Bahamas,6.39,7.46,32712.66137,57.31652571,111.4577945,33.70430314,1
2015,BHS,Bahamas,6.41,7.31,32777.39561,53.00143829,113.7251412,29.99706622,1
2016,BHS,Bahamas The,6.29,7.43,32172.22915,55.41110424,131.009917,29.98236906,1
2017,BHS,Bahamas The,6.21,7.3,33049.8728,54.30285297,116.7143304,26.43805274,0
2018,BHS,Bahamas The,6.27,6.91,33650.23692,51.58445356,121.9138561,26.80828248,1
2019,BHS,Bahamas The,6.27,7.04,33202.35458,54.84063079,121.7071883,23.39306996,1
2020,BHS,Bahamas The,6.3,7.08,26452.52516,74.01790672,119.5399125,23.84523189,0
2021,BHS,Bahamas The,6.31,7.24,31064.68222,66.13640911,121.0555545,24.02391159,0
2022,BHS,Bahamas The,6.19,7.35,34342.79041,62.18767787,119.1968916,24.14898063,0
2023,BHS,Bahamas The,6.25,7.45,35221.31027,58.4141849,120.1606229,22.37685069,0
2013,BIH,Bosnia and Herzegovina,4.6,6.51,13132.11101,44.4441685,44.45443875,32.33345508,0
2014,BIH,Bosnia and Herzegovina,4.78,6.73,13455.15778,46.29682018,46.77787072,33.26280569,0
2015,BIH,Bosnia and Herzegovina,4.61,6.93,14220.36046,47.21586879,50.03103317,30.50268424,0
2016,BIH,Bosnia and Herzegovina,4.5,7,14873.92356,48.4678537,50.6911021,29.26807681,0
2017,BIH,Bosnia and Herzegovina,4.62,6.94,15554.95443,50.26561458,52.1703404,29.49200529,0
2018,BIH,Bosnia and Herzegovina,4.62,6.91,16349.07355,51.12283906,54.19745964,29.6338828,0
2019,BIH,Bosnia and Herzegovina,4.5,6.9,17029.62088,52.54785633,56.79205244,29.26175873,0
2020,BIH,Bosnia and Herzegovina,4.47,6.66,16747.3534,57.65922214,57.05074641,29.41953057,0
2021,BIH,Bosnia and Herzegovina,4.48,6.8,18286.72263,56.29023451,57.98897924,29.74250471,0
2022,BIH,Bosnia and Herzegovina,4.58,6.62,19298.18116,49.83619165,59.54370717,29.21351876,0
2023,BIH,Bosnia and Herzegovina,4.55,6.85,19804.98412,50.16444329,62.1199135,28.90728648,0
2013,BLZ,Belize,3.5,6.82,12026.0711,56.72082641,40.34804575,24.12111431,0
2014,BLZ,Belize,3.99,6.59,12249.22142,47.98312859,40.78545998,23.36666978,0
2015,BLZ,Belize,3.47,6.64,12339.48074,54.28559035,40.34781463,20.9973321,0
2016,BLZ,Belize,3.87,6.63,12062.79817,59.50307872,39.79687674,20.29640714,0
2017,BLZ,Belize,3.86,6.7,11574.45245,58.06798109,38.50923066,19.63970764,0
2018,BLZ,Belize,3.87,6.66,11486.80294,59.04242646,44.64134989,19.1320071,0
2019,BLZ,Belize,3.88,6.66,11803.088,60.16783634,40.02482273,18.72721064,0
2020,BLZ,Belize,3.84,6.99,10032.5445,58.02479314,46.42157992,18.35271764,0
2021,BLZ,Belize,3.84,6.99,11677.46101,55.61548172,46.57744029,18.3486886,0
2022,BLZ,Belize,3.85,6.98,12569.81794,44.46848674,45.27758245,14.7495155,0
2023,BLZ,Belize,3.98,6.89,12455.29607,44.79615062,45.31248959,14.6599231,0
2013,BOL,Bolivia,4.11,4.92,8524.032134,34.51895944,30.72724709,28.43815144,0
2014,BOL,Bolivia,4.13,4.84,8851.711628,38.37824906,33.91584881,31.77032066,0
2015,BOL,Bolivia,4.28,4.42,9141.928409,45.6828789,37.39051149,34.14326346,0
2016,BOL,Bolivia,4.31,4.48,9390.790638,43.82483851,39.34532756,38.09060916,0
2017,BOL,Bolivia,4.3,4.5,9642.813957,46.08593046,39.36401533,40.38729839,0
2018,BOL,Bolivia,4.28,4.63,9907.062567,44.81275791,40.15668733,40.38542795,0
2019,BOL,Bolivia,4.12,4.59,9985.230485,43.46347818,41.87774417,44.67125659,0
2020,BOL,Bolivia,4.06,4.56,9000.975652,61.133753,42.29003678,68.64309712,0
2021,BOL,Bolivia,4.17,4.68,9454.198147,58.53307748,43.48888588,72.45323432,0
2022,BOL,Bolivia,4.14,4.68,9681.70743,56.57958272,44.94984393,74.65033715,0
2023,BOL,Bolivia,4.13,4.42,9843.970142,52.25021033,40.40462614,63.05039027,0
2013,BRA,Brazil,5.29,5.32,19241.50598,37.91792306,119.8596244,20.77703402,0
2014,BRA,Brazil,5.3,5.14,19183.17274,34.76709183,119.4311068,21.50454057,0
2015,BRA,Brazil,5.17,4.86,18357.06906,32.48252481,116.5386087,21.13603373,0
2016,BRA,Brazil,5.23,4.75,17620.92724,33.15722724,113.6750269,20.62367237,0
2017,BRA,Brazil,5.18,4.89,17724.47996,33.8439011,109.487103,19.80034162,0
2018,BRA,Brazil,5.07,5.08,17917.74921,34.24249833,108.3109255,19.2932499,0
2019,BRA,Brazil,5.01,5.14,18018.62092,34.19457127,117.685185,19.03878203,0
2020,BRA,Brazil,5.02,4.85,17327.51572,45.31341147,116.0552145,18.30725544,0
2021,BRA,Brazil,4.98,5.41,18075.706,39.82514758,111.9408968,17.55193226,0
2022,BRA,Brazil,4.98,5.36,18554.04618,39.2098543,113.4541655,16.91283301,0
2023,BRA,Brazil,5.07,5.14,19079.81221,40.64468045,100.6650142,16.39417886,0
2013,BRB,Barbados,6.41,6.15,18695.68329,NA,NA,NA,0
2014,BRB,Barbados,6.41,6.14,18665.17698,79.74109218,44.15306396,21.40754616,0
2015,BRB,Barbados,6.32,6.17,18464.66309,87.0346751,37.6993631,16.410311,0
2016,BRB,Barbados,6.3,6.16,18754.66514,89.82465696,24.25803492,16.76009686,0
