var1,var2,corr
Y,Y,1
Y,X1,0.15665847419174123
Y,X2,0.13079846883075147
Y,X3,0.2877700749676718
Y,X4,0.33841554296711207
Y,X5,0.35945606643501543
X1,Y,0.15665847419174123
X1,X1,1
X1,X2,0.42318061824124625
X1,X3,0.3607368997262741
X1,X4,0.27284723282779627
X1,X5,0.3512845157248271
X2,Y,0.13079846883075147
X2,X1,0.42318061824124625
X2,X2,1
X2,X3,0.5266755056182699
X2,X4,0.3700660868070765
X2,X5,0.4975827169640179
X3,Y,0.2877700749676718
X3,X1,0.3607368997262741
X3,X2,0.5266755056182699
X3,X3,1
X3,X4,0.7195313827546063
X3,X5,0.7791422404596878
X4,Y,0.33841554296711207
X4,X1,0.27284723282779627
X4,X2,0.3700660868070765
X4,X3,0.7195313827546063
X4,X4,1
X4,X5,0.5678672470535073
X5,Y,0.35945606643501543
X5,X1,0.3512845157248271
X5,X2,0.4975827169640179
X5,X3,0.7791422404596878
X5,X4,0.5678672470535073
X5,X5,1
